userEmail,organizationSlug,branchCode,roleName,status,isDefault,metadata
owner@nimbus.demo,nimbus,TAPAS_DOWNTOWN,Owner,ACTIVE,true,"{""demoAccess"": ""enterprise""}"
owner@nimbus.demo,nimbus,ROOFTOP_BAR,Owner,ACTIVE,false,"{""demoAccess"": ""enterprise""}"
owner@nimbus.demo,nimbus,GARDEN_CAFE,Owner,ACTIVE,false,"{""demoAccess"": ""enterprise""}"
owner@nimbus.demo,nimbus,EVENTS_KITCHEN,Owner,ACTIVE,false,"{""demoAccess"": ""enterprise""}"
manager@nimbus.demo,nimbus,TAPAS_DOWNTOWN,Manager,ACTIVE,true,"{""demoAccess"": ""enterprise""}"
manager@nimbus.demo,nimbus,ROOFTOP_BAR,Manager,ACTIVE,false,"{""demoAccess"": ""enterprise""}"
manager@nimbus.demo,nimbus,GARDEN_CAFE,Manager,ACTIVE,false,"{""demoAccess"": ""enterprise""}"
manager@nimbus.demo,nimbus,EVENTS_KITCHEN,Manager,ACTIVE,false,"{""demoAccess"": ""enterprise""}"
accountant@nimbus.demo,nimbus,TAPAS_DOWNTOWN,Accountant,ACTIVE,true,"{""demoAccess"": ""enterprise""}"
accountant@nimbus.demo,nimbus,ROOFTOP_BAR,Accountant,ACTIVE,false,"{""demoAccess"": ""enterprise""}"
accountant@nimbus.demo,nimbus,GARDEN_CAFE,Accountant,ACTIVE,false,"{""demoAccess"": ""enterprise""}"
accountant@nimbus.demo,nimbus,EVENTS_KITCHEN,Accountant,ACTIVE,false,"{""demoAccess"": ""enterprise""}"
supervisor@nimbus.demo,nimbus,TAPAS_DOWNTOWN,Supervisor,ACTIVE,true,"{""demoAccess"": ""enterprise""}"
cashier@nimbus.demo,nimbus,TAPAS_DOWNTOWN,Cashier,ACTIVE,true,"{""demoAccess"": ""enterprise""}"
waiter@nimbus.demo,nimbus,TAPAS_DOWNTOWN,Waiter,ACTIVE,true,"{""demoAccess"": ""enterprise""}"
chef@nimbus.demo,nimbus,TAPAS_DOWNTOWN,Chef,ACTIVE,true,"{""demoAccess"": ""enterprise""}"
chef@nimbus.demo,nimbus,GARDEN_CAFE,Chef,ACTIVE,false,"{""demoAccess"": ""enterprise""}"
chef@nimbus.demo,nimbus,EVENTS_KITCHEN,Chef,ACTIVE,false,"{""demoAccess"": ""enterprise""}"
bartender@nimbus.demo,nimbus,ROOFTOP_BAR,Bartender,ACTIVE,true,"{""demoAccess"": ""enterprise""}"
stockmanager@nimbus.demo,nimbus,TAPAS_DOWNTOWN,Stock Manager,ACTIVE,true,"{""demoAccess"": ""enterprise""}"
stockmanager@nimbus.demo,nimbus,ROOFTOP_BAR,Stock Manager,ACTIVE,false,"{""demoAccess"": ""enterprise""}"
stockmanager@nimbus.demo,nimbus,GARDEN_CAFE,Stock Manager,ACTIVE,false,"{""demoAccess"": ""enterprise""}"
stockmanager@nimbus.demo,nimbus,EVENTS_KITCHEN,Stock Manager,ACTIVE,false,"{""demoAccess"": ""enterprise""}"
procurement@nimbus.demo,nimbus,TAPAS_DOWNTOWN,Procurement,ACTIVE,true,"{""demoAccess"": ""enterprise""}"
procurement@nimbus.demo,nimbus,ROOFTOP_BAR,Procurement,ACTIVE,false,"{""demoAccess"": ""enterprise""}"
procurement@nimbus.demo,nimbus,GARDEN_CAFE,Procurement,ACTIVE,false,"{""demoAccess"": ""enterprise""}"
procurement@nimbus.demo,nimbus,EVENTS_KITCHEN,Procurement,ACTIVE,false,"{""demoAccess"": ""enterprise""}"
eventmanager@nimbus.demo,nimbus,TAPAS_DOWNTOWN,Event Manager,ACTIVE,true,"{""demoAccess"": ""enterprise""}"
eventmanager@nimbus.demo,nimbus,ROOFTOP_BAR,Event Manager,ACTIVE,false,"{""demoAccess"": ""enterprise""}"
eventmanager@nimbus.demo,nimbus,GARDEN_CAFE,Event Manager,ACTIVE,false,"{""demoAccess"": ""enterprise""}"
eventmanager@nimbus.demo,nimbus,EVENTS_KITCHEN,Event Manager,ACTIVE,false,"{""demoAccess"": ""enterprise""}"
franchise.ops@nimbus.demo,nimbus,TAPAS_DOWNTOWN,Manager,ACTIVE,true,"{""demoAccess"": ""enterprise""}"
franchise.ops@nimbus.demo,nimbus,ROOFTOP_BAR,Manager,ACTIVE,false,"{""demoAccess"": ""enterprise""}"
franchise.ops@nimbus.demo,nimbus,GARDEN_CAFE,Manager,ACTIVE,false,"{""demoAccess"": ""enterprise""}"
franchise.ops@nimbus.demo,nimbus,EVENTS_KITCHEN,Manager,ACTIVE,false,"{""demoAccess"": ""enterprise""}"
kds.demo@nimbus.demo,nimbus,TAPAS_DOWNTOWN,Chef,ACTIVE,true,"{""demoAccess"": ""enterprise""}"
kds.demo@nimbus.demo,nimbus,GARDEN_CAFE,Chef,ACTIVE,false,"{""demoAccess"": ""enterprise""}"
kds.demo@nimbus.demo,nimbus,EVENTS_KITCHEN,Chef,ACTIVE,false,"{""demoAccess"": ""enterprise""}"
