organizationSlug,branchCode,employeeCode,firstName,lastName,phone,hireDate,status,employmentType,email,positionCode,compensationProfileCode,userEmail
nimbus,TAPAS_DOWNTOWN,EMP-001,Amina,Kato,+256702100000,2025-01-01T06:00:00Z,ACTIVE,PERMANENT,amina.kato@nimbus.demo,TAPAS_DOWNTOWN-OWNER,TAPAS_DOWNTOWN-MGR,owner@nimbus.demo
nimbus,ROOFTOP_BAR,EMP-002,Daniel,Okello,+256702100001,2025-02-02T06:00:00Z,ACTIVE,PERMANENT,daniel.okello@nimbus.demo,ROOFTOP_BAR-GM,ROOFTOP_BAR-MGR,manager@nimbus.demo
nimbus,GARDEN_CAFE,EMP-003,Grace,Nabirye,+256702100002,2025-03-03T06:00:00Z,ACTIVE,PERMANENT,grace.nabirye@nimbus.demo,GARDEN_CAFE-ACCOUNTANT,GARDEN_CAFE-MGR,accountant@nimbus.demo
nimbus,EVENTS_KITCHEN,EMP-004,Peter,Mugisha,+256702100003,2025-04-04T06:00:00Z,ACTIVE,PERMANENT,peter.mugisha@nimbus.demo,EVENTS_KITCHEN-SUP,EVENTS_KITCHEN-MGR,supervisor@nimbus.demo
nimbus,TAPAS_DOWNTOWN,EMP-005,Sarah,Namutebi,+256702100004,2025-05-05T06:00:00Z,ACTIVE,PERMANENT,sarah.namutebi@nimbus.demo,TAPAS_DOWNTOWN-CASHIER,TAPAS_DOWNTOWN-SERVICE,cashier@nimbus.demo
nimbus,ROOFTOP_BAR,EMP-006,Brian,Kisekka,+256702100005,2025-06-06T06:00:00Z,ACTIVE,PERMANENT,brian.kisekka@nimbus.demo,ROOFTOP_BAR-WAITER,ROOFTOP_BAR-SERVICE,waiter@nimbus.demo
nimbus,GARDEN_CAFE,EMP-007,Moses,Kigozi,+256702100006,2025-07-07T06:00:00Z,ACTIVE,PERMANENT,moses.kigozi@nimbus.demo,GARDEN_CAFE-CHEF,GARDEN_CAFE-KITCHEN,chef@nimbus.demo
nimbus,EVENTS_KITCHEN,EMP-008,Irene,Akello,+256702100007,2025-08-08T06:00:00Z,ACTIVE,PERMANENT,irene.akello@nimbus.demo,EVENTS_KITCHEN-BARTENDER,EVENTS_KITCHEN-SERVICE,bartender@nimbus.demo
nimbus,TAPAS_DOWNTOWN,EMP-009,David,Muwanga,+256702100008,2025-09-09T06:00:00Z,ACTIVE,PERMANENT,david.muwanga@nimbus.demo,TAPAS_DOWNTOWN-STOCK,TAPAS_DOWNTOWN-MGR,stockmanager@nimbus.demo
nimbus,ROOFTOP_BAR,EMP-010,Linda,Atim,+256702100009,2025-10-10T06:00:00Z,ACTIVE,PERMANENT,linda.atim@nimbus.demo,ROOFTOP_BAR-PROC,ROOFTOP_BAR-MGR,procurement@nimbus.demo
nimbus,GARDEN_CAFE,EMP-011,Rachel,Achieng,+256702100010,2025-01-11T06:00:00Z,ACTIVE,PERMANENT,rachel.achieng@nimbus.demo,GARDEN_CAFE-EVENT,GARDEN_CAFE-MGR,eventmanager@nimbus.demo
nimbus,EVENTS_KITCHEN,EMP-012,Joseph,Ssenyonga,+256702100011,2025-02-12T06:00:00Z,ACTIVE,PERMANENT,joseph.ssenyonga@nimbus.demo,EVENTS_KITCHEN-SUP,EVENTS_KITCHEN-MGR,franchise.ops@nimbus.demo
nimbus,TAPAS_DOWNTOWN,EMP-013,Agnes,Namara,+256702100012,2025-03-13T06:00:00Z,ACTIVE,CASUAL,agnes.namara@nimbus.demo,TAPAS_DOWNTOWN-CASUAL,TAPAS_DOWNTOWN-CASUAL,kds.demo@nimbus.demo
nimbus,ROOFTOP_BAR,EMP-014,Patrick,Otim,+256702100013,2025-04-14T06:00:00Z,ACTIVE,PERMANENT,patrick.otim@nimbus.demo,ROOFTOP_BAR-CHEF,ROOFTOP_BAR-KITCHEN,
nimbus,GARDEN_CAFE,EMP-015,Joan,Nakku,+256702100014,2025-05-15T06:00:00Z,ACTIVE,CASUAL,joan.nakku@nimbus.demo,GARDEN_CAFE-CASUAL,GARDEN_CAFE-CASUAL,
nimbus,EVENTS_KITCHEN,EMP-016,Samuel,Byaruhanga,+256702100015,2025-06-16T06:00:00Z,ACTIVE,PERMANENT,samuel.byaruhanga@nimbus.demo,EVENTS_KITCHEN-WAITER,EVENTS_KITCHEN-SERVICE,
nimbus,TAPAS_DOWNTOWN,EMP-017,Esther,Auma,+256702100016,2025-07-17T06:00:00Z,ACTIVE,PERMANENT,esther.auma@nimbus.demo,TAPAS_DOWNTOWN-CASHIER,TAPAS_DOWNTOWN-SERVICE,
nimbus,ROOFTOP_BAR,EMP-018,Henry,Lule,+256702100017,2025-08-18T06:00:00Z,ACTIVE,PERMANENT,henry.lule@nimbus.demo,ROOFTOP_BAR-WAITER,ROOFTOP_BAR-SERVICE,
nimbus,GARDEN_CAFE,EMP-019,Mariam,Kamanzi,+256702100018,2025-09-19T06:00:00Z,ACTIVE,PERMANENT,mariam.kamanzi@nimbus.demo,GARDEN_CAFE-WAITER,GARDEN_CAFE-SERVICE,
nimbus,EVENTS_KITCHEN,EMP-020,Simon,Wasswa,+256702100019,2025-10-20T06:00:00Z,ACTIVE,PERMANENT,simon.wasswa@nimbus.demo,EVENTS_KITCHEN-WAITER,EVENTS_KITCHEN-SERVICE,
nimbus,TAPAS_DOWNTOWN,EMP-021,Rebecca,Mukasa,+256702100020,2025-01-01T06:00:00Z,ACTIVE,PERMANENT,rebecca.mukasa@nimbus.demo,TAPAS_DOWNTOWN-CHEF,TAPAS_DOWNTOWN-KITCHEN,
