branchCode,eventNumber,ticketClassName,bookingNumber,customerName,quantity,status,totalAmount,customerPhone,customerEmail,bookedByEmail
EVENTS_KITCHEN,EVT-0001,Package,BKG-01-001,Demo Event Guest 1-1,3,CHECKED_IN,660000.00,+256704000000,eventguest00@demo.invalid,eventmanager@nimbus.demo
EVENTS_KITCHEN,EVT-0001,VIP Table,BKG-01-002,Demo Event Guest 1-2,3,CONFIRMED,450000.00,+256704000001,eventguest01@demo.invalid,eventmanager@nimbus.demo
EVENTS_KITCHEN,EVT-0001,Package,BKG-01-003,Demo Event Guest 1-3,1,CHECKED_IN,220000.00,+256704000002,eventguest02@demo.invalid,eventmanager@nimbus.demo
TAPAS_DOWNTOWN,EVT-0002,General,BKG-02-001,Demo Event Guest 2-1,4,CHECKED_IN,260000.00,+256704100000,eventguest10@demo.invalid,eventmanager@nimbus.demo
TAPAS_DOWNTOWN,EVT-0002,General,BKG-02-002,Demo Event Guest 2-2,3,CHECKED_IN,195000.00,+256704100001,eventguest11@demo.invalid,eventmanager@nimbus.demo
TAPAS_DOWNTOWN,EVT-0002,Package,BKG-02-003,Demo Event Guest 2-3,2,CONFIRMED,440000.00,+256704100002,eventguest12@demo.invalid,eventmanager@nimbus.demo
EVENTS_KITCHEN,EVT-0003,General,BKG-03-001,Demo Event Guest 3-1,3,CHECKED_IN,195000.00,+256704200000,eventguest20@demo.invalid,eventmanager@nimbus.demo
EVENTS_KITCHEN,EVT-0003,VIP Table,BKG-03-002,Demo Event Guest 3-2,1,CHECKED_IN,150000.00,+256704200001,eventguest21@demo.invalid,eventmanager@nimbus.demo
EVENTS_KITCHEN,EVT-0003,Package,BKG-03-003,Demo Event Guest 3-3,2,CHECKED_IN,440000.00,+256704200002,eventguest22@demo.invalid,eventmanager@nimbus.demo
EVENTS_KITCHEN,EVT-0003,Package,BKG-03-004,Demo Event Guest 3-4,1,CHECKED_IN,220000.00,+256704200003,eventguest23@demo.invalid,eventmanager@nimbus.demo
GARDEN_CAFE,EVT-0004,General,BKG-04-001,Demo Event Guest 4-1,4,CONFIRMED,260000.00,+256704300000,eventguest30@demo.invalid,eventmanager@nimbus.demo
GARDEN_CAFE,EVT-0004,VIP Table,BKG-04-002,Demo Event Guest 4-2,2,CONFIRMED,300000.00,+256704300001,eventguest31@demo.invalid,eventmanager@nimbus.demo
GARDEN_CAFE,EVT-0004,General,BKG-04-003,Demo Event Guest 4-3,2,CONFIRMED,130000.00,+256704300002,eventguest32@demo.invalid,eventmanager@nimbus.demo
EVENTS_KITCHEN,EVT-0005,VIP Table,BKG-05-001,Demo Event Guest 5-1,3,CONFIRMED,450000.00,+256704400000,eventguest40@demo.invalid,eventmanager@nimbus.demo
EVENTS_KITCHEN,EVT-0005,VIP Table,BKG-05-002,Demo Event Guest 5-2,3,CONFIRMED,450000.00,+256704400001,eventguest41@demo.invalid,eventmanager@nimbus.demo
EVENTS_KITCHEN,EVT-0005,VIP Table,BKG-05-003,Demo Event Guest 5-3,3,CONFIRMED,450000.00,+256704400002,eventguest42@demo.invalid,eventmanager@nimbus.demo
EVENTS_KITCHEN,EVT-0005,General,BKG-05-004,Demo Event Guest 5-4,1,CONFIRMED,65000.00,+256704400003,eventguest43@demo.invalid,eventmanager@nimbus.demo
EVENTS_KITCHEN,EVT-0005,VIP Table,BKG-05-005,Demo Event Guest 5-5,3,CONFIRMED,450000.00,+256704400004,eventguest44@demo.invalid,eventmanager@nimbus.demo
ROOFTOP_BAR,EVT-0006,VIP Table,BKG-06-001,Demo Event Guest 6-1,4,CONFIRMED,600000.00,+256704500000,eventguest50@demo.invalid,eventmanager@nimbus.demo
ROOFTOP_BAR,EVT-0006,VIP Table,BKG-06-002,Demo Event Guest 6-2,4,CONFIRMED,600000.00,+256704500001,eventguest51@demo.invalid,eventmanager@nimbus.demo
EVENTS_KITCHEN,EVT-0007,VIP Table,BKG-07-001,Demo Event Guest 7-1,1,CONFIRMED,150000.00,+256704600000,eventguest60@demo.invalid,eventmanager@nimbus.demo
EVENTS_KITCHEN,EVT-0007,General,BKG-07-002,Demo Event Guest 7-2,2,CONFIRMED,130000.00,+256704600001,eventguest61@demo.invalid,eventmanager@nimbus.demo
EVENTS_KITCHEN,EVT-0007,General,BKG-07-003,Demo Event Guest 7-3,2,CONFIRMED,130000.00,+256704600002,eventguest62@demo.invalid,eventmanager@nimbus.demo
EVENTS_KITCHEN,EVT-0007,VIP Table,BKG-07-004,Demo Event Guest 7-4,2,CONFIRMED,300000.00,+256704600003,eventguest63@demo.invalid,eventmanager@nimbus.demo
EVENTS_KITCHEN,EVT-0007,General,BKG-07-005,Demo Event Guest 7-5,4,CONFIRMED,260000.00,+256704600004,eventguest64@demo.invalid,eventmanager@nimbus.demo
GARDEN_CAFE,EVT-0008,VIP Table,BKG-08-001,Demo Event Guest 8-1,1,CONFIRMED,150000.00,+256704700000,eventguest70@demo.invalid,eventmanager@nimbus.demo
GARDEN_CAFE,EVT-0008,Package,BKG-08-002,Demo Event Guest 8-2,3,CONFIRMED,660000.00,+256704700001,eventguest71@demo.invalid,eventmanager@nimbus.demo
GARDEN_CAFE,EVT-0008,VIP Table,BKG-08-003,Demo Event Guest 8-3,2,CONFIRMED,300000.00,+256704700002,eventguest72@demo.invalid,eventmanager@nimbus.demo
